raster_val;pente;col
1;1;g0
2;2;g0
3;3;g0
4;4;g6
5;5;g12
6;6;g18
7;7;g24
8;8;g30
9;9;g36
10;10;g42
11;11;g48
12;12;g54
13;13;g60
14;14;g66
15;15;g72
16;16;g78
17;17;g84
18;18;g90
19;19;g96
20;20;g102
21;21;g108
22;22;g114
23;23;g120
24;24;g126
25;25;g132
26;26;g138
27;27;g144
28;28;g150
29;29;g156
30;30;g162
31;31;g168
32;32;g174
33;33;g180
34;34;g186
35;35;g192
36;36;g198
37;37;g204
38;38;g210
39;39;g216
40;40;g222
41;41;g233
42;42;g233
43;43;g233
44;44;g233
45;45;g233
46;46;g233
47;47;g233
48;48;g233
49;49;g233
50;50;g233
51;51;g233
52;52;g233
53;53;g233
54;54;g233
55;55;g233
56;56;g233
57;57;g233
58;58;g233
59;59;g233
60;60;g233
61;61;g233
62;62;g233
63;63;g233
64;64;g233
65;65;g233
66;66;g233
67;67;g233
68;68;g233
69;69;g233
70;70;g233
71;71;g233
72;72;g233
73;73;g233
74;74;g233
75;75;g233
76;76;g233
77;77;g233
78;78;g233
79;79;g233
80;80;g233
81;81;g233
82;82;g233
83;83;g233
84;84;g233
85;85;g233
86;86;g233
87;87;g233
88;88;g233
89;89;g233
90;90;g233
91;91;g233
92;92;g233
93;93;g233
94;94;g233
95;95;g233
96;96;g233
97;97;g233
98;98;g233
99;99;g233
100;100;g233
